RANKDetermined by total points. The athlete with the fewest points wins.,NAME,POINTSThe sum of an athlete's workout rankings. Based on a points-per-place ranking system.,18.1,18.2,18.2A,18.3,18.4,18.5
652,"NICKPLAGENHOEF
South East
Age 27
73 in | 205 lb
View Profile",9112,"1078th(421 reps)13 rounds +
5 toes-to-barsJudged by Ellie Tarence at CrossFit Laminin.","1621st(4:51)110 reps
340 lb.(4:51)Judged by Ben Steever at CrossFit Laminin.",602nd(340 lb)340 lb.(4:51)Judged by Ben Steever at CrossFit Laminin.,"1358th(694 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
10 ring muscle-ups(12:37)Judged by Ben Steever at CrossFit Laminin.","583rd(160 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
25 ft. handstand walk(8:33)Judged by Ben Steever at CrossFit Laminin.","3870th(137 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
11 thr.Judged by Ben Steever at CrossFit Laminin."
653,"DANMELZAR
Mid Atlantic
Age 28
69 in | 190 lb
View Profile",9119,"2089th(406 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
4 caloriesJudged by Cliff Kohut at 12th State CrossFit.","788th(4:35)110 reps
305 lb.(4:35)Judged by Cliff Kohut at 12th State CrossFit.",4394th(305 lb)305 lb.(4:35)Judged by Cliff Kohut at 12th State CrossFit.,"799th(725 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
29 double-unders(12:46)Judged by Cliff Kohut at 12th State CrossFit.","688th(158 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
15 ft. handstand walk(8:51)Judged by Cliff Kohut at 12th State CrossFit.","361st (165 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PUJudged by Tim Lukasevicz at 12th State CrossFit."
654,"RYANLAFRAMBOISE
South West
Age 28
69 in | 190 lb
View Profile",9126,"2019th(407 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
5 caloriesJudged by Christopher Treanor at CrossFit Blade.","1687th(4:52)110 reps
311 lb.(4:52)Judged by Paul Coen at CrossFit Blade.",3329th(311 lb)311 lb.(4:52)Judged by Paul Coen at CrossFit Blade.,"1404th(694 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
10 ring muscle-ups(12:53)Judged by Cory Allen at CrossFit Blade.",85th(7:47)165 reps(7:47)Judged by Cory Allen at CrossFit Blade.,"602nd (160 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 13 PUJudged by Christopher Treanor at CrossFit Blade."
655,"BRANDONDELAO
West Coast
Age 27
66 in | 175 lb
View Profile",9127,"631st(430 reps)13 rounds +
8 toes-to-bars
6 clean & jerksJudged by Jason Sandy at CrossFit Meridian.","687th(4:33)110 reps
305 lb.(4:33)Judged by Rick Davenport at CrossFit Meridian.",4392nd(305 lb)305 lb.(4:33)Judged by Rick Davenport at CrossFit Meridian.,"1059th(698 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
2 double-unders(13:13)Judged by Rick Davenport at CrossFit Meridian.",287th(8:45)165 reps(8:45)Judged by Tristan Wilson at CrossFit Meridian.,"2071st (144 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
18 thr.Judged by Lauren Kesler at CrossFit Meridian."
656,"JOSEDIAZACCEPTED
Central America
Age 22
175 cm | 195 lb
View Profile",9146,"2860th(401 reps)12 rounds +
8 toes-to-bars
9 clean & jerksJudged by Alan Moran at Mobius CrossFit Cancun.","1489th(4:49)110 reps
337 lb.(4:49)Judged by Maria Garcia at Mobius CrossFit Cancun.",703rd(337 lb)337 lb.(4:49)Judged by Maria Garcia at Mobius CrossFit Cancun.,"907th(713 reps) 1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
17 double-unders(11:48)","2331st(139 reps) 21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
15 ft. handstand walk(8:20)","856th(156 reps) 3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 9 PU"
657,"BENJAMINLANZ
South Central
Age 32
68 in | 190 lb
View Profile",9175,"3279th(397 reps)12 rounds +
8 toes-to-bars
5 clean & jerksJudged by Shannon Lanz at CrossFit Upheaval.","2191st(4:59)110 reps
338 lb.(4:59)Judged by Shannon Lanz at CrossFit Upheaval.",657th(338 lb)338 lb.(4:59)Judged by Shannon Lanz at CrossFit Upheaval.,"665th(742 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
46 double-unders(12:22)Judged by Shannon Lanz at CrossFit Upheaval.","1601st(146 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk(8:29)Judged by Shannon Lanz at CrossFit Upheaval.","782nd (157 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 10 PUJudged by Shannon Lanz at CrossFit Upheaval."
658,"MATTHEWDAVIS
South Central
Age 27
215 lb
View Profile",9184,"1516th(415 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
13 caloriesJudged by Matthew Davis at CrossFit Igneous.","1566th(4:50)110 reps
335 lb.(4:50)Judged by Matthew Davis at CrossFit Igneous.",849th(335 lb)335 lb.(4:50)Judged by Matthew Davis at CrossFit Igneous.,"3101st(686 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
2 ring muscle-ups(13:40)Judged by Matthew Davis at CrossFit Igneous.","531st(161 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
30 ft. handstand walk(8:25)Judged by Matthew Davis at CrossFit Igneous.","1621st (147 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr.Judged by Matthew Davis at CrossFit Igneous."
659,"HECTORMORALESACCEPTED
Central America
Age 30
173 cm | 95 kg
View Profile",9193,"1336th(416 reps) 13 rounds +
0 toes-to-bars","2603rd(5:04) 110 reps
350 lb.(5:04)",319th(350 lb) 350 lb.(5:04),"889th(716 reps) 1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
20 double-unders(14:00)","3685th(132 reps) 21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
11 deadlifts(6:16)","361st(165 reps) 3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PU"
660,"ZACHTAYLOR
South East
Age 30
72 in | 205 lb
View Profile",9206,"3698th(394 reps)12 rounds +
8 toes-to-bars
2 clean & jerksJudged by Joseph Pellegrino at Carolina CrossFit.","1566th(4:50)110 reps
331 lb.(4:50)Judged by Joseph Pellegrino at Carolina CrossFit.",1089th(331 lb)331 lb.(4:50)Judged by Joseph Pellegrino at Carolina CrossFit.,"699th(737 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
41 double-unders(12:21)Judged by Joseph Pellegrino at Carolina CrossFit.","1714th(144 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
40 ft. handstand walk(7:54)Judged by Joseph Pellegrino at Carolina CrossFit.","440th (163 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 16 PUJudged by Joseph Pellegrino at Carolina CrossFit."
661,"TRAVISDURANT
South Central
Age 31
71 in | 196 lb
View Profile",9208,"900th(424 reps)13 rounds +
8 toes-to-barsJudged by Lacy Beckler at CrossFit Boom.","2603rd(5:04)110 reps
322 lb.(5:04)Judged by Lacy Beckler at CrossFit Boom.",1832nd(322 lb)322 lb.(5:04)Judged by Lacy Beckler at CrossFit Boom.,"1131st(696 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups(12:46)Judged by Grant Coomes at CrossFit Boom.",248th(8:40)165 reps(8:40)Judged by Grant Coomes at CrossFit Boom.,"2494th(142 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
16 thr.Judged by Grant Coomes at CrossFit Boom."
662,"EVANMORRIS
Australasia
Age 25
View Profile",9217,"3177th(398 reps)12 rounds +
8 toes-to-bars
6 clean & jerksJudged by Brett Eacott at CrossFit 505.","2681st(5:05)110 reps
360 lb.(5:05)Judged by Brett Eacott at CrossFit 505.",147th(360 lb)360 lb.(5:05)Judged by Brett Eacott at CrossFit 505.,"2009th(691 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
7 ring muscle-ups(13:27)Judged by Brett Eacott at CrossFit 505.",200th(8:29)165 reps(8:29)Judged by Brett Eacott at CrossFit 505.,"1003rd(154 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 7 PUJudged by Brett Eacott at CrossFit 505."
663,"MARTYMCLAIN
South East
Age 25
69 in | 195 lb
View Profile",9224,"2019th(407 reps) 12 rounds +
8 toes-to-bars
10 clean & jerks
5 calories","1489th(4:49)110 reps
315 lb.(4:49)Judged by Jessica Phillips at CrossFit Bound.",2619th(315 lb)315 lb.(4:49)Judged by Jessica Phillips at CrossFit Bound.,"956th(708 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
12 double-unders(12:57)Judged by Rodney Carter at CrossFit Bound.","647th(159 reps) 21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
20 ft. handstand walk(8:43)","1494th(148 reps) 3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 1 PU"
664,"DANIELJAHN
Europe Central
Age 25
170 cm | 77 kg
View Profile",9246,"2487th(402 reps)12 rounds +
8 toes-to-bars
10 clean & jerksJudged by Thomas Barisich at CrossFit WN.","49th(4:02)110 reps
313 lb.(4:02)Judged by Thomas Barisich at CrossFit WN.",3115th(313 lb)313 lb.(4:02)Judged by Thomas Barisich at CrossFit WN.,"800th(724 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
28 double-unders(11:52)Judged by Thomas Barisich at CrossFit WN.","2193rd(141 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
25 ft. handstand walk(8:42)Judged by Thomas Barisich at CrossFit WN.","602nd (160 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 13 PUJudged by Thomas Barisich at CrossFit WN."
665,"UTKUTUNCER
Europe South
Age 32
174 cm | 88 kg
View Profile",9256,"1951st(408 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
6 caloriesJudged by Esra Bozer at Antrum CrossFit.","2191st(4:59)110 reps
335 lb.(4:59)Judged by Esra Bozer at Antrum CrossFit.",853rd(335 lb)335 lb.(4:59)Judged by Esra Bozer at Antrum CrossFit.,"3714th(684 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders(13:56)Judged by Esra Bozer at Antrum CrossFit.",230th(8:35)165 reps(8:35)Judged by Esra Bozer at Antrum CrossFit.,"317th (166 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 19 PUJudged by Esra Bozer at Antrum CrossFit."
666,"MITCHHAWKINS
Australasia
Age 25
176 cm | 80 kg
View Profile",9259,"3698th(394 reps)12 rounds +
8 toes-to-bars
2 clean & jerksJudged by Rob Forte at Reebok CrossFit Frankston.","1489th(4:49)110 reps
322 lb.(4:49)Judged by Rob Forte at Reebok CrossFit Frankston.",1816th(322 lb)322 lb.(4:49)Judged by Rob Forte at Reebok CrossFit Frankston.,"1124th(696 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups(12:44)Judged by Rob Forte at Reebok CrossFit Frankston.",129th(8:06)165 reps(8:06)Judged by Matthew Peters at Reebok CrossFit Frankston.,"1003rd(154 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 7 PUJudged by Rob Forte at Reebok CrossFit Frankston."
667,"RYANSTREET
Mid Atlantic
Age 24
68 in | 175 lb
View Profile",9264,"2487th(402 reps)12 rounds +
8 toes-to-bars
10 clean & jerksJudged by Quinn Megargel at CrossFit Bear.","523rd(4:28)110 reps
310 lb.(4:28)Judged by Quinn Megargel at CrossFit Bear.",3434th(310 lb)310 lb.(4:28)Judged by Quinn Megargel at CrossFit Bear.,"1200th(695 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
11 ring muscle-ups(12:17)Judged by Quinn Megargel at CrossFit Bear.","901st(154 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
8 deadlifts(7:30)Judged by Quinn Megargel at CrossFit Bear.","719th (158 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 11 PUJudged by Quinn Megargel at CrossFit Bear."
668,"TIAGOSALES
Europe South
Age 28
181 cm | 89 kg
View Profile",9267,"249th(443 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
9 caloriesJudged by Hugo Dominguez at CrossFit Boston.","920th(4:38)110 reps
309 lb.(4:38)Judged by Hugo Dominguez at The Bakery CrossFit.",3645th(309 lb)309 lb.(4:38)Judged by Hugo Dominguez at The Bakery CrossFit.,"876th(717 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
21 double-unders(12:49)Judged by Hugo Dominguez at The Bakery CrossFit.","2932nd(136 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts(8:58)Judged by Hugo Dominguez at The Bakery CrossFit.","645th (159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Hugo Dominguez at The Bakery CrossFit."
669,"THOMASWILSONACCEPTED
Central America
Age 27
72 in | 200 lb
View Profile",9268,"1336th(416 reps)13 rounds +
0 toes-to-barsJudged by Adam Brewin at CrossFit Castaway.","1054th(4:41)110 reps
322 lb.(4:41)Judged by Adam Brewin at CrossFit Castaway.",1804th(322 lb)322 lb.(4:41)Judged by Adam Brewin at CrossFit Castaway.,"1407th(694 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
10 ring muscle-ups(12:55)Judged by Adam Brewin at CrossFit Castaway.","2584th(137 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
5 ft. handstand walk(8:40)Judged by Adam Brewin at CrossFit Castaway.","1083rd(153 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 6 PUJudged by Adam Brewin at CrossFit Castaway."
670,"DYLANMITAI
Australasia
Age 29
174 cm | 78 kg
View Profile",9269,"900th(424 reps)13 rounds +
8 toes-to-barsJudged by Callum Gifford at CrossFit East Tamaki.","276th(4:19)110 reps
303 lb.(4:19)Judged by Dave Tobeck at Cameron CrossFit.",4964th(303 lb)303 lb.(4:19)Judged by Dave Tobeck at Cameron CrossFit.,"691st(737 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
41 double-unders(11:12)Judged by Zak Nothling at CrossFit East Tamaki.","1189th(150 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
4 deadlifts(7:52)Judged by Dave Tobeck at Cameron CrossFit.","1249th(151 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 4 PUJudged by Dave Tobeck at Cameron CrossFit."
671,"PAWELKOZAK
Europe North
Age 28
183 cm | 92 kg
View Profile",9291,"419th(435 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
1 caloriesJudged by Julia Lisowska at CrossFit GCW.","110th(4:09)110 reps
333 lb.(4:09)Judged by Julia Lisowska at CrossFit GCW.",980th(333 lb)333 lb.(4:09)Judged by Julia Lisowska at CrossFit GCW.,"457th(773 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
77 double-unders(11:30)Judged by Mateusz Zajączkowski at CrossFit GCW.","467th(163 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
40 ft. handstand walk(8:29)Judged by Mateusz Zajączkowski at CrossFit GCW.","6858th(128 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
2 thr.Judged by Mateusz Zajączkowski at CrossFit GCW."
672,"HARALDURHOLGERSSON
Europe North
Age 19
178 cm | 173 lb
View Profile",9309,"446th(434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Hjördís Óskarsdóttir at CrossFit XY.","963rd(4:39)110 reps
300 lb.(4:39)Judged by Svanhildur Nanna Vigfusdottir at CrossFit XY.",5404th(300 lb)300 lb.(4:39)Judged by Svanhildur Nanna Vigfusdottir at CrossFit XY.,"17th (916 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
100 double-unders(13:59)Judged by Svanhildur Nanna Vigfusdottir at CrossFit XY.","1396th(148 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
2 deadlifts(8:23)Judged by Svanhildur Nanna Vigfusdottir at CrossFit XY.","1083rd(153 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 6 PUJudged by Runar Kristmannsson at CrossFit XY."
673,"DERRICKDLOUHY
North Central
Age 26
70 in | 192 lb
View Profile",9310,"2089th(406 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
4 caloriesJudged by Luke Reiland at CrossFit 8035.","491st(4:27)110 reps
312 lb.(4:27)Judged by Amy Boyd at CrossFit 8035.",3199th(312 lb)312 lb.(4:27)Judged by Amy Boyd at CrossFit 8035.,"750th(730 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
34 double-unders(11:58)Judged by Dani Davis at CrossFit 8035.","511th(162 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
35 ft. handstand walk(8:36)Judged by Luke Reiland at CrossFit 8035.","2270th(143 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
17 thr.Judged by Luke Reiland at CrossFit 8035."
674,"FEDERICOGIOVANNINI
Europe South
Age 23
190 cm | 95 kg
View Profile",9326,"1273rd(417 reps)13 rounds +
1 toes-to-barsJudged by Katia D'Alessandro at CrossFit Megara.","1005th(4:40)110 reps
326 lb.(4:40)Judged by Katia D'Alessandro at CrossFit Megara.",1465th(326 lb)326 lb.(4:40)Judged by Katia D'Alessandro at CrossFit Megara.,"2299th(690 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
6 ring muscle-ups(14:00)Judged by Katia D'Alessandro at CrossFit Megara.","3053rd(136 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts(9:00)Judged by Katia D'Alessandro at CrossFit Megara.","231st (168 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PUJudged by Katia D'Alessandro at CrossFit Megara."
675,"ANDREWKONG
West Coast
Age 28
67 in | 187 lb
View Profile",9327,"1602nd(413 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
11 caloriesJudged by Adam Scotchler at CrossFit Tustin.","687th(4:33)110 reps
355 lb.(4:33)Judged by Adam Scotchler at CrossFit Tustin.",210th(355 lb)355 lb.(4:33)Judged by Adam Scotchler at CrossFit Tustin.,"1252nd(695 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
11 ring muscle-ups(12:49)Judged by Adam Scotchler at CrossFit Tustin.","5259th(127 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
6 deadlifts(7:13)Judged by Ted Hwang at Torrance CrossFit.","317th (166 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 19 PUJudged by Joel Thompson at CrossFit Tustin."
676,"ZEVGREEN
Central East
Age 26
72 in | 198 lb
View Profile",9339,"118th(451 reps)14 rounds +
3 toes-to-barsJudged by Erin Sweeney at CrossFit 184.","2527th(5:03)110 reps
315 lb.(5:03)Judged by Eric Schearer at CrossFit 184.",2644th(315 lb)Judged by Eric Schearer at CrossFit 184.,"2369th(689 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
5 ring muscle-ups(13:16)Judged by Erin Sweeney at CrossFit 184.","962nd(153 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
7 deadlifts(7:45)Judged by Erin Sweeney at CrossFit 184.","719th (158 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 11 PUJudged by Erin Sweeney at CrossFit 184."
677,"FILIP YANGFISKER
Europe North
Age 28
196 cm | 230 lb
View Profile",9345,"183rd(447 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
13 caloriesJudged by Kaare Fisker at Aarhus CrossFit.","5340th(5:30)110 reps
331 lb.(5:30)Judged by Kaare Fisker at Aarhus CrossFit.",1104th(331 lb)331 lb.(5:30)Judged by Kaare Fisker at Aarhus CrossFit.,"740th(731 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
35 double-unders(12:01)Judged by Kaare Fisker at Aarhus CrossFit.",357th(8:54)165 reps(8:54)Judged by Kaare Fisker at Aarhus CrossFit.,"1621st (147 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr.Judged by Kaare Fisker at Aarhus CrossFit."
